表1
列1	列2	列3	列4	列5	
MTCYBP14	MT-CYB pseudogene 14			mitochondrially encoded cytochrome b pseudogene 14	
MTCYBP15	MT-CYB pseudogene 15			mitochondrially encoded cytochrome b pseudogene 15	
MTCYBP16	MT-CYB pseudogene 16			mitochondrially encoded cytochrome b pseudogene 16	
MTCYBP17	MT-CYB pseudogene 17			mitochondrially encoded cytochrome b pseudogene 17	
MTCYBP18	MT-CYB pseudogene 18			mitochondrially encoded cytochrome b pseudogene 18	
MTCYBP19	MT-CYB pseudogene 19			mitochondrially encoded cytochrome b pseudogene 19	
MTCYBP20	MT-CYB pseudogene 20			mitochondrially encoded cytochrome b pseudogene 20	
MTCYBP21	MT-CYB pseudogene 21			mitochondrially encoded cytochrome b pseudogene 21	
MTCYBP22	MT-CYB pseudogene 22			mitochondrially encoded cytochrome b pseudogene 22	
MTCYBP23	MT-CYB pseudogene 23			mitochondrially encoded cytochrome b pseudogene 23	
MTCYBP24	MT-CYB pseudogene 24			mitochondrially encoded cytochrome b pseudogene 24	
MTCYBP25	MT-CYB pseudogene 25			mitochondrially encoded cytochrome b pseudogene 25	
MTCYBP26	MT-CYB pseudogene 26			mitochondrially encoded cytochrome b pseudogene 26	
MTCYBP27	MT-CYB pseudogene 27			mitochondrially encoded cytochrome b pseudogene 27	
MTCYBP28	MT-CYB pseudogene 28			mitochondrially encoded cytochrome b pseudogene 28	
MTCYBP29	MT-CYB pseudogene 29			mitochondrially encoded cytochrome b pseudogene 29	
MTCYBP30	MT-CYB pseudogene 30			mitochondrially encoded cytochrome b pseudogene 30	
MTCYBP31	MT-CYB pseudogene 31			mitochondrially encoded cytochrome b pseudogene 31	
MTCYBP32	MT-CYB pseudogene 32			mitochondrially encoded cytochrome b pseudogene 32	
MTCYBP33	MT-CYB pseudogene 33			mitochondrially encoded cytochrome b pseudogene 33	
MTCYBP34	MT-CYB pseudogene 34			mitochondrially encoded cytochrome b pseudogene 34	
MTCYBP35	MT-CYB pseudogene 35			mitochondrially encoded cytochrome b pseudogene 35	
MTCYBP36	MT-CYB pseudogene 36			mitochondrially encoded cytochrome b pseudogene 36	
MTCYBP37	MT-CYB pseudogene 37			mitochondrially encoded cytochrome b pseudogene 37	
MTCYBP38	MT-CYB pseudogene 38			mitochondrially encoded cytochrome b pseudogene 38	
MTCYBP39	MT-CYB pseudogene 39			mitochondrially encoded cytochrome b pseudogene 39	
MTCYBP40	MT-CYB pseudogene 40			mitochondrially encoded cytochrome b pseudogene 40	
MTCYBP41	MT-CYB pseudogene 41			mitochondrially encoded cytochrome b pseudogene 41	
MTCYBP42	MT-CYB pseudogene 42			mitochondrially encoded cytochrome b pseudogene 42	
MTCYBP43	MT-CYB pseudogene 43			mitochondrially encoded cytochrome b pseudogene 43	
MTCYBP44	MT-CYB pseudogene 44			mitochondrially encoded cytochrome b pseudogene 44	
MTCYBP45	MT-CYB pseudogene 45			mitochondrially encoded cytochrome b pseudogene 45	
MTDH	metadherin		"LYRIC, 3D3, AEG-1"		
MTDHP1	metadherin pseudogene 1				
MTDHP2	metadherin pseudogene 2				
MTDHP3	metadherin pseudogene 3				
MTDHP4	metadherin pseudogene 4				
MTDHP5	metadherin pseudogene 5				
MTERF1	mitochondrial transcription termination factor 1	MTERF		mitochondrial transcription termination factor	
MTERF2	mitochondrial transcription termination factor 2	MTERFD3	FLJ14062	MTERF domain containing 3	
MTERF3	mitochondrial transcription termination factor 3	MTERFD1	"CGI-12, FLJ10939"	MTERF domain containing 1	
MTERF4	mitochondrial transcription termination factor 4	MTERFD2	MGC61716	MTERF domain containing 2	
MTF1	metal regulatory transcription factor 1				
MTF2	metal response element binding transcription factor 2		"M96, PCL2, TDRD19A"		
MTFMT	mitochondrial methionyl-tRNA formyltransferase		FMT1		
MTFP1	mitochondrial fission process 1		"MTP18, HSPC242"		
MTFR1	mitochondrial fission regulator 1		"CHPPR, KIAA0009, FAM54A2"		
MTFR1L	mitochondrial fission regulator 1 like	FAM54B		"family with sequence similarity 54, member B, ""mitochondrial fission regulator 1-like"""	
MTFR2	mitochondrial fission regulator 2	"DUFD1, FAM54A"		"DUF729 domain containing 1, ""family with sequence similarity 54, member A"""	
MTG1	mitochondrial ribosome associated GTPase 1	GTPBP7		"GTP-binding protein 7, ""GTP-binding protein 7 (putative)"", ""mitochondrial GTPase 1 homolog (S. cerevisiae)"", ""mitochondrial ribosome-associated GTPase 1"""	
MTG2	mitochondrial ribosome associated GTPase 2	GTPBP5	"FLJ10741, dJ1005F21.2, ObgH1"	"GTP-binding protein 5 (putative), ""GTP binding protein 5 (putative)"", ""mitochondrial ribosome-associated GTPase 2"""	
MTHFD1	"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"	"MTHFC, MTHFD"		"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase"	
MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	FTHFSDC1	"DKFZP586G1517, FLJ21145"	formyltetrahydrofolate synthetase domain containing 1	
MTHFD1P1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 pseudogene 1	"MTHFDL1, MTHFDP1"			
MTHFD2	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"				
MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like		MGC72244		
MTHFD2P1	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 1"				
MTHFD2P2	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 2"				
MTHFD2P3	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 3"				
MTHFD2P4	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 4"				
MTHFD2P5	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 5"				
MTHFD2P6	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 6"				
MTHFD2P7	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 7"				
MTHFR	methylenetetrahydrofolate reductase			"5,10-methylenetetrahydrofolate reductase (NADPH), ""methylenetetrahydrofolate reductase (NAD(P)H)"""	
MTHFS	methenyltetrahydrofolate synthetase		HsT19268	"5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)"	
MTHFSD	methenyltetrahydrofolate synthetase domain containing		FLJ12998		
MTHPR	mitochondrially encoded replication primer			replication primer	
MTHSP1	mitochondrially encoded major H-strand promoter			major H-strand promoter	
MTHSP2	mitochondrially encoded minor H-strand promoter			minor H-strand promoter	
MTIF2	mitochondrial translational initiation factor 2		IF-2mt		
MTIF2P1	mitochondrial translational initiation factor 2 pseudogene 1				
MTIF3	mitochondrial translational initiation factor 3		"IF-3mt, IF3(mt)"		
MTL3P	"metallothionein-like 3, pseudogene"	MTL3		metallothionein-like 3	
MTLN	mitoregulin	"NCRNA00116, LINC00116, SMIM37"	MOXI	"non-protein coding RNA 116, ""long intergenic non-protein coding RNA 116"", ""small integral membrane protein 37"""	
MTLSP	mitochondrially encoded L-strand promoter			L-strand promoter	
MTM1	myotubularin 1			myotubular myopathy 1	
MTMR1	myotubularin related protein 1				
MTMR2	myotubularin related protein 2	CMT4B	KIAA1073		
MTMR3	myotubularin related protein 3		"KIAA0371, ZFYVE10, FYVE-DSP1"		
MTMR4	myotubularin related protein 4		"KIAA0647, ZFYVE11"		
MTMR6	myotubularin related protein 6				
MTMR7	myotubularin related protein 7				
MTMR8	myotubularin related protein 8		FLJ20126		
MTMR9	myotubularin related protein 9	"C8orf9, MTMR8"	"DKFZp434K171, LIP-STYX"	myotubularin related protein 8	
MTMR9LP	"myotubularin related protein 9-like, pseudogene"	MTMR9L		myotubularin related protein 9-like	
MTMR10	myotubularin related protein 10		FLJ20313		
MTMR11	myotubularin related protein 11		CRA		
MTMR12	myotubularin related protein 12	PIP3AP	"3-PAP, FLJ20476, KIAA1682, 3PAP"	phosphatidylinositol-3-phosphate associated protein	
MTMR14	myotubularin related protein 14	C3orf29	"FLJ22405, FLJ90311, hJumpy, hEDTP"	chromosome 3 open reading frame 29	
MTND1P1	MT-ND1 pseudogene 1			"MTND1 pseudogene 1, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 1"""	
MTND1P2	MT-ND1 pseudogene 2			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 2	
MTND1P3	MT-ND1 pseudogene 3			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 3	
MTND1P4	MT-ND1 pseudogene 4			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 4	
MTND1P5	MT-ND1 pseudogene 5			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 5	
MTND1P6	MT-ND1 pseudogene 6			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 6	
MTND1P7	MT-ND1 pseudogene 7			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 7	
MTND1P8	MT-ND1 pseudogene 8			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 8	
MTND1P9	MT-ND1 pseudogene 9			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 9	
MTND1P10	MT-ND1 pseudogene 10			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 10	
MTND1P11	MT-ND1 pseudogene 11			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 11	
MTND1P12	MT-ND1 pseudogene 12			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 12	
MTND1P13	MT-ND1 pseudogene 13			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 13	
MTND1P14	MT-ND1 pseudogene 14			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 14	
MTND1P15	MT-ND1 pseudogene 15			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 15	
MTND1P16	MT-ND1 pseudogene 16			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 16	
MTND1P17	MT-ND1 pseudogene 17			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 17	
MTND1P18	MT-ND1 pseudogene 18			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 18	
MTND1P19	MT-ND1 pseudogene 19			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 19	
MTND1P20	MT-ND1 pseudogene 20			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 20	
MTND1P21	MT-ND1 pseudogene 21			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 21	
MTND1P22	MT-ND1 pseudogene 22			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 22	
MTND1P23	MT-ND1 pseudogene 23			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 23	
MTND1P24	MT-ND1 pseudogene 24			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 24	
MTND1P25	MT-ND1 pseudogene 25			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 25	
MTND1P26	MT-ND1 pseudogene 26			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 26	
MTND1P27	MT-ND1 pseudogene 27			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 27	
MTND1P28	MT-ND1 pseudogene 28			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 28	
MTND1P29	MT-ND1 pseudogene 29			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 29	
MTND1P30	MT-ND1 pseudogene 30			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 30	
MTND1P31	MT-ND1 pseudogene 31			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 31	
MTND1P32	MT-ND1 pseudogene 32			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 32	
MTND1P33	MT-ND1 pseudogene 33			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 33	
MTND1P34	MT-ND1 pseudogene 34			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 34	
MTND1P35	MT-ND1 pseudogene 35			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 35	
MTND1P36	MT-ND1 pseudogene 36			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 36	
MTND1P37	MT-ND1 pseudogene 37			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 37	
MTND2P1	MT-ND2 pseudogene 1			"NADH dehydrogenase 2 pseudogene 1, ""MTND2 pseudogene 1"", ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 1"""	
MTND2P2	MT-ND2 pseudogene 2			"NADH dehydrogenase 2 pseudogene 2, ""MTND2 pseudogene 2"", ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 2"""	
MTND2P3	MT-ND2 pseudogene 3			"MTND2 pseudogene 3, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 3"""	
MTND2P4	MT-ND2 pseudogene 4			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 4	
MTND2P5	MT-ND2 pseudogene 5			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 5	
MTND2P6	MT-ND2 pseudogene 6			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 6	
MTND2P7	MT-ND2 pseudogene 7			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 7	
MTND2P8	MT-ND2 pseudogene 8			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 8	
MTND2P9	MT-ND2 pseudogene 9			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 9	
MTND2P10	MT-ND2 pseudogene 10			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 10	
MTND2P11	MT-ND2 pseudogene 11			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 11	
MTND2P12	MT-ND2 pseudogene 12			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 12	
MTND2P13	MT-ND2 pseudogene 13			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 13	
MTND2P14	MT-ND2 pseudogene 14			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 14	
MTND2P15	MT-ND2 pseudogene 15			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 15	
MTND2P16	MT-ND2 pseudogene 16			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 16	
MTND2P17	MT-ND2 pseudogene 17			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 17	
MTND2P18	MT-ND2 pseudogene 18			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 18	
MTND2P19	MT-ND2 pseudogene 19			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 19	
MTND2P20	MT-ND2 pseudogene 20			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 20	
MTND2P21	MT-ND2 pseudogene 21			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 21	
MTND2P22	MT-ND2 pseudogene 22			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 22	
MTND2P23	MT-ND2 pseudogene 23			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 23	
MTND2P24	MT-ND2 pseudogene 24			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 24	
MTND2P25	MT-ND2 pseudogene 25			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 25	
MTND2P26	MT-ND2 pseudogene 26			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 26	
MTND2P27	MT-ND2 pseudogene 27			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 27	
MTND2P28	MT-ND2 pseudogene 28			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 28	
MTND2P29	MT-ND2 pseudogene 29			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 29	
MTND2P30	MT-ND2 pseudogene 30			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 30	
MTND2P31	MT-ND2 pseudogene 31			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 31	
MTND2P32	MT-ND2 pseudogene 32			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 32	
MTND2P33	MT-ND2 pseudogene 33			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 33	
MTND2P34	MT-ND2 pseudogene 34			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 34	
MTND2P35	MT-ND2 pseudogene 35			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 35	
MTND2P36	MT-ND2 pseudogene 36			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 36	
MTND2P37	MT-ND2 pseudogene 37			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 37	
MTND2P38	MT-ND2 pseudogene 38			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 38	
MTND2P39	MT-ND2 pseudogene 39			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 39	
MTND2P40	MT-ND2 pseudogene 40			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 40	
MTND2P41	MT-ND2 pseudogene 41			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 41	
MTND3P1	MT-ND3 pseudogene 1			"MTND3 pseudogene 1, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 1"""	
MTND3P2	MT-ND3 pseudogene 2			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 2	
MTND3P3	MT-ND3 pseudogene 3			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 3	
MTND3P4	MT-ND3 pseudogene 4			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 4	
MTND3P5	MT-ND3 pseudogene 5			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 5	
MTND3P6	MT-ND3 pseudogene 6			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 6	
MTND3P7	MT-ND3 pseudogene 7			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 7	
MTND3P8	MT-ND3 pseudogene 8			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 8	
MTND3P9	MT-ND3 pseudogene 9			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 9	
MTND3P10	MT-ND3 pseudogene 10			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 10	
MTND3P11	MT-ND3 pseudogene 11			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 11	
MTND3P12	MT-ND3 pseudogene 12			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 12	
MTND3P13	MT-ND3 pseudogene 13			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 13	
MTND3P14	MT-ND3 pseudogene 14			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 14	
MTND3P15	MT-ND3 pseudogene 15			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 15	
MTND3P16	MT-ND3 pseudogene 16			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 16	
MTND3P17	MT-ND3 pseudogene 17			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 17	
MTND3P18	MT-ND3 pseudogene 18			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 18	
MTND3P19	MT-ND3 pseudogene 19			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 19	
MTND3P20	MT-ND3 pseudogene 20			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 20	
MTND3P21	MT-ND3 pseudogene 21			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 21	
MTND3P22	MT-ND3 pseudogene 22			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 22	
MTND3P23	MT-ND3 pseudogene 23			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 23	
MTND3P24	MT-ND3 pseudogene 24			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 24	
MTND3P25	MT-ND3 pseudogene 25			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 pseudogene 25	
MTND4LP1	MT-ND4L pseudogene 1		MTND4L2	"MTND4L pseudogene 1, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 1"""	
MTND4LP2	MT-ND4L pseudogene 2			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 2	
MTND4LP3	MT-ND4L pseudogene 3			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 3	
MTND4LP4	MT-ND4L pseudogene 4			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 4	
MTND4LP5	MT-ND4L pseudogene 5			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 5	
MTND4LP6	MT-ND4L pseudogene 6			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 6	
MTND4LP7	MT-ND4L pseudogene 7			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 7	
MTND4LP8	MT-ND4L pseudogene 8			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 8	
MTND4LP9	MT-ND4L pseudogene 9			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 9	
MTND4LP10	MT-ND4L pseudogene 10			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 10	
MTND4LP11	MT-ND4L pseudogene 11			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 11	
MTND4LP12	MT-ND4L pseudogene 12			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 12	
MTND4LP13	MT-ND4L pseudogene 13			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 13	
MTND4LP14	MT-ND4L pseudogene 14			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 14	
MTND4LP15	MT-ND4L pseudogene 15			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 15	
MTND4LP16	MT-ND4L pseudogene 16			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 16	
MTND4LP17	MT-ND4L pseudogene 17			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 17	
MTND4LP18	MT-ND4L pseudogene 18			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 18	
MTND4LP19	MT-ND4L pseudogene 19			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 19	
MTND4LP20	MT-ND4L pseudogene 20			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 20	
MTND4LP21	MT-ND4L pseudogene 21			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 21	
MTND4LP22	MT-ND4L pseudogene 22			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 22	
MTND4LP23	MT-ND4L pseudogene 23			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 23	
MTND4LP24	MT-ND4L pseudogene 24			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 24	
MTND4LP25	MT-ND4L pseudogene 25			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 25	
MTND4LP26	MT-ND4L pseudogene 26			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 26	
MTND4LP27	MT-ND4L pseudogene 27			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 27	
MTND4LP28	MT-ND4L pseudogene 28			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 28	
MTND4LP29	MT-ND4L pseudogene 29			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 29	
MTND4LP30	MT-ND4L pseudogene 30			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 30	
MTND4LP31	MT-ND4L pseudogene 31			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 31	
MTND4LP32	MT-ND4L pseudogene 32			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L pseudogene 32	
MTND4P1	MT-ND4 pseudogene 1			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 1	
MTND4P2	MT-ND4 pseudogene 2			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 2	
MTND4P3	MT-ND4 pseudogene 3			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 3	
MTND4P4	MT-ND4 pseudogene 4			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 4	
MTND4P5	MT-ND4 pseudogene 5			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 5	
MTND4P6	MT-ND4 pseudogene 6			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 6	
MTND4P7	MT-ND4 pseudogene 7			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 7	
MTND4P8	MT-ND4 pseudogene 8			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 8	
MTND4P9	MT-ND4 pseudogene 9			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 9	
MTND4P10	MT-ND4 pseudogene 10			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 10	
MTND4P11	MT-ND4 pseudogene 11			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 11	
MTND4P12	MT-ND4 pseudogene 12			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 12	
MTND4P13	MT-ND4 pseudogene 13			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 13	
